time = 0	ro_c = 1	, ro_a = 0
time = 0.002	ro_c = 1.718e+11	, ro_a = 1.73134e+10
time = 0.004	ro_c = 3.40396e+11	, ro_a = 1.69508e+10
time = 0.006	ro_c = 5.05847e+11	, ro_a = 1.66365e+10
time = 0.008	ro_c = 6.68213e+11	, ro_a = 1.6349e+10
time = 0.01	ro_c = 8.27551e+11	, ro_a = 1.60557e+10
time = 0.012	ro_c = 9.83918e+11	, ro_a = 1.57695e+10
time = 0.014	ro_c = 1.13737e+12	, ro_a = 1.54633e+10
time = 0.016	ro_c = 1.28796e+12	, ro_a = 1.51749e+10
time = 0.018	ro_c = 1.43574e+12	, ro_a = 1.49035e+10
time = 0.02	ro_c = 1.58076e+12	, ro_a = 1.46256e+10
time = 0.022	ro_c = 1.72308e+12	, ro_a = 1.43528e+10
time = 0.024	ro_c = 1.86275e+12	, ro_a = 1.40601e+10
time = 0.026	ro_c = 1.99981e+12	, ro_a = 1.38225e+10
time = 0.028	ro_c = 2.13431e+12	, ro_a = 1.35647e+10
time = 0.03	ro_c = 2.26631e+12	, ro_a = 1.33117e+10
time = 0.032	ro_c = 2.39584e+12	, ro_a = 1.30635e+10
time = 0.034	ro_c = 2.52296e+12	, ro_a = 1.28199e+10
time = 0.036	ro_c = 2.64771e+12	, ro_a = 1.25808e+10
time = 0.038	ro_c = 2.77013e+12	, ro_a = 1.23462e+10
time = 0.04	ro_c = 2.89027e+12	, ro_a = 1.21159e+10
time = 0.042	ro_c = 3.00817e+12	, ro_a = 1.189e+10
time = 0.044	ro_c = 3.12387e+12	, ro_a = 1.16682e+10
time = 0.046	ro_c = 3.23741e+12	, ro_a = 1.14506e+10
time = 0.048	ro_c = 3.34884e+12	, ro_a = 1.12371e+10
time = 0.05	ro_c = 3.45818e+12	, ro_a = 1.10275e+10
time = 0.052	ro_c = 3.56549e+12	, ro_a = 1.08219e+10
time = 0.054	ro_c = 3.6708e+12	, ro_a = 1.062e+10
time = 0.056	ro_c = 3.77414e+12	, ro_a = 1.0422e+10
time = 0.058	ro_c = 3.87555e+12	, ro_a = 1.02276e+10
time = 0.06	ro_c = 3.97508e+12	, ro_a = 1.00369e+10
time = 0.062	ro_c = 4.07274e+12	, ro_a = 9.84969e+09
time = 0.064	ro_c = 4.16859e+12	, ro_a = 9.666e+09
time = 0.066	ro_c = 4.26265e+12	, ro_a = 9.48574e+09
time = 0.068	ro_c = 4.35495e+12	, ro_a = 9.30884e+09
time = 0.07	ro_c = 4.44554e+12	, ro_a = 9.13524e+09
time = 0.072	ro_c = 4.53443e+12	, ro_a = 8.96487e+09
time = 0.074	ro_c = 4.62167e+12	, ro_a = 8.79768e+09
time = 0.076	ro_c = 4.70727e+12	, ro_a = 8.63361e+09
time = 0.078	ro_c = 4.79129e+12	, ro_a = 8.4726e+09
